Дата,Направление,Тема,Что делала,Артефакты,Сложность,Время,Комментарий
2026-05-13,Алгоритмы,LeetCode 128: Longest Consecutive Sequence (разминка),"Решена задача на поиск длины самой длинной последовательности последовательных чисел. Intelligent HashSet Search: сначала все числа в сет, затем для каждой головы (нет n-1) считаем длину цепочки. O(n) time, O(n) space.",day_38/main.go,1,0.8ч,"Разминка без тестов. Вербализация и код без подсказок. Исправлена опечатка currenNum → currentNum и перенос currentLen внутрь if-блока."
2026-05-13,Алгоритмы,LeetCode 844: Backspace String Compare,"Решена задача сравнения строк с учётом backspace через Two Pointers (с конца). O(n) time, O(1) space. Исправлен баг: сравнение s[i] != s[j] вместо s[i] != t[j]. Добавлены edge-case тесты.",day_38/main.go,2,1.1ч,Паттерн: Two Pointers с конца. Баг — опечатка при сравнении символов из разных строк.
2026-05-13,Алгоритмы,"LeetCode 88: Merge Sorted Array (разминка)","Разминочное решение через Two Pointers (fill from end). O(m+n) time, O(1) space. Решено самостоятельно без подсказок.",day_38/main.go,1,0.3ч,Warm-up перед новой задачей.
2026-05-14,Алгоритмы,"LeetCode 125: Valid Palindrome (разминка)","Разминочное решение через Two Pointers. Пропуск не-alphanumeric символов через unicode.IsLetter/IsDigit. Сравнение через unicode.ToLower. Выявлена проблема: rune(s[i]) обрезает многобайтовые Unicode символы — нужно []rune.",day_39/main.go,1,0.3ч,Warm-up. Обнаружен баг с Unicode — rune(s[i]) обрезает многобайтовые символы.
2026-05-14,Алгоритмы,"LeetCode 167: Two Sum II - Input Array Is Sorted (разминка)","Разминочное решение через Two Pointers на отсортированном массиве. i/j с краёв, движение внутрь в зависимости от sum vs target. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_39/main.go,2,0.3ч,Warm-up. Чистый код, верная логика.
2026-05-14,Алгоритмы,"LeetCode 15: 3Sum (разминка)","Разминочное решение через Sort + Two Pointers. Дедупликация на трёх уровнях (i, j, k). O(n²) time, O(1) space (не считая результата). Решено самостоятельно без подсказок.",day_39/main.go,2,0.3ч,Warm-up. Чистый код, дедупликация на всех уровнях.
2026-05-14,Алгоритмы,"LeetCode 977: Squares of a Sorted Array (разминка)","Разминочное решение через Two Pointers с заполнением с конца. Сравнение квадратов с краёв, больший кладём в res[idx]. O(n) time, O(n) space. Решено самостоятельно без подсказок.",day_39/main.go,1,0.3ч,Warm-up. Чистый код, верная логика заполнения с конца.
2026-05-14,Карточки,"Anki — повторение алгоритмических карточек","Интервальное повторение алгоритмических карточек (LeetCode) в Anki. Паттерны Two Pointers, HashSet, Prefix Sum.",Программирование Карточки.csv,1,0.6ч,Интервальное повторение для закрепления в долговременной памяти.
2026-05-16,Алгоритмы,"LeetCode 11: Container With Most Water (разминка)","Разминочное решение через Two Pointers с краёв. Движение указателя с меньшей высоты, подсчёт площади. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_40/main.go,2,0.3ч,Warm-up. Чистый код, верная логика движения указателей.
2026-05-16,Собеседование,"LeetCode 977: Squares of a Sorted Array (видео-разбор)","Записала видео с полным объяснением алгоритма Two Pointers с заполнением с конца. O(n) time, O(n) space. Решение опубликовано в Telegram-канале.","Telegram-канал, day_40/main.go",2,0.5ч,Тренировка объяснения кода и алгоритмов как на собеседовании.
2026-05-16,Карточки,"Anki — создание карточек по LC 977","Составлены 3 карточки по задаче LeetCode 977: Squares of a Sorted Array. Type A (Pattern Recognition), Type B (Algorithm Mechanics), Type C (Edge Case & Complexity). Добавлены в Anki с тегами.",Программирование Карточки.csv,2,0.3ч,"Методология: 3 карточки на задачу. Без кода на тыле, только паттерны и шаги. Теги: two_pointers, leetcode, pattern, mechanics, edge_case."
2026-05-16,Алгоритмы,"LeetCode 26: Remove Duplicates from Sorted Array (разминка)","Разминочное решение через Two Pointers (fast & slow). Перезапись уникальных элементов в начало массива. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_40/main.go,1,0.3ч,Warm-up. Чистый код, верная логика перезаписи in-place.
2026-05-16,Алгоритмы,"LeetCode 283: Move Zeroes (разминка)","Разминочное решение через Two Pointers (fast & slow). Swap ненулевых элементов в начало, нули сдвигаются вправо. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_40/main.go,1,0.3ч,Warm-up. Чистый код, swap-логика через два указателя.
2026-05-16,Алгоритмы,"LeetCode 392: Is Subsequence (разминка)","Разминочное решение через Two Pointers (converging check). Один указатель по s, второй по t. При совпадении двигаем указатель s. O(n) time, O(1) space. Исправлен баг с пустой строкой s (panic на s[0]). Добавлены edge-case тесты.",day_40/main.go,1,0.3ч,Warm-up. Чистый код, early return для пустой строки. 8 тестов включая edge cases.
2026-05-16,Алгоритмы,"LeetCode 844: Backspace String Compare (разминка)","Разминочное решение через Two Pointers с конца. Пропуск backspace'ов через счётчик. Сравнение валидных символов. O(n) time, O(1) space. Решено самостоятельно без подсказок. Ошибка из day_38 (s[i] != s[j]) не повторена.",day_40/main.go,2,0.3ч,Warm-up. Чистый код, корректное сравнение символов из разных строк.
2026-05-17,Алгоритмы,"LeetCode 125: Valid Palindrome (разминка)","Разминочное решение через Two Pointers. Пропуск неалфавитных символов, сравнение в lowercase. Учтены ограничения задачи (ASCII-only), rune(s[i]) корректен. Решено самостоятельно без подсказок.",day_41/main.go,1,9мин,Warm-up. Чистый код, корректное понимание ограничений.
2026-05-17,Алгоритмы,"LeetCode 167: Two Sum II (разминка)","Разминочное решение через Two Pointers на отсортированном массиве. Сумма с краёв, движение указателей в зависимости от сравнения с target. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_41/main.go,2,5мин,Warm-up. Корректные 1-based индексы, чистый код.
2026-05-17,Алгоритмы,"LeetCode 15: 3Sum (разминка)","Разминочное решение через Sort + Two Pointers. Дедупликация на трёх уровнях (i, j, k). O(n²) time, O(1) aux space. Решено самостоятельно без подсказок. Отмечен side effect slices.Sort (in-place).",day_41/main.go,2,10мин,Warm-up. Чистый код, корректная дедупликация.
2026-05-17,Алгоритмы,"LeetCode 11: Container With Most Water (разминка)","Разминочное решение через Two Pointers. Движение указателя с меньшей высотой. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_41/main.go,2,7мин,Warm-up. Чистый код, корректная эвристика выбора указателя.
2026-05-17,Алгоритмы,"LeetCode 26: Remove Duplicates (разминка)","Разминочное решение через Fast & Slow Pointers. Перезапись уникальных элементов in-place. O(n) time, O(1) space. Решено самостоятельно. Отмечен отсутствующий early return для пустого массива (по условию LC длина >= 1).",day_41/main.go,1,5мин,Warm-up. Корректный алгоритм, но без обработки пустого входа.
2026-05-17,Алгоритмы,"LeetCode 283: Move Zeroes (разминка)","Разминочное решение через Fast & Slow Pointers со swap. Перемещение ненулевых элементов влево, нулей вправо. O(n) time, O(1) space. Решено самостоятельно.",day_41/main.go,1,5мин,Warm-up. Корректный in-place алгоритм.
2026-05-17,Алгоритмы,"LeetCode 844: Backspace String Compare (разминка)","Разминочное решение через Two Pointers с конца. Пропуск backspace'ов через счётчик. Корректное сравнение символов из разных строк (баг day_38 не повторился). O(n+m) time, O(1) space. Решено самостоятельно.",day_41/main.go,1,19мин,Warm-up. Чистый код, корректная обработка цепочек backspace'ов.
2026-05-17,Алгоритмы,"LeetCode 88: Merge Sorted Array (разминка)","Разминочное решение через merge from end. Слияние двух отсортированных массивов in-place с конца. O(m+n) time, O(1) space. Решено самостоятельно.",day_41/main.go,1,8мин,Warm-up. Чистый код, корректная обработка остатков.
2026-05-17,Алгоритмы,"Anki-карточки: LC 125 Valid Palindrome (Type A/B/C)","Создание 3 карточек по методологии algorithm-anki/SKILL.md. Type A: Pattern Recognition (Two Pointers, O(n) time, O(1) space). Type B: Algorithm Mechanics (пропуск неалфавитных символов, движение указателей). Type C: Edge Case (пустая/односимвольная строка всегда палиндром).",Anki,1,9мин,Карточки созданы и добавлены в Anki с тегами.
2026-05-17,Go,"Лекция Nature of Go","Просмотр лекции по курсу Nature of Go (igoroutine.courses). Глубинное понимание Go.",Nature of Go,1,2.2ч,Лекция просмотрена.
2026-05-18,Go,Nature of Go — xv6 SYS_va2pa,Реализован системный вызов va2pa в ядре xv6. Преобразование виртуального адреса в физический через page table walk.,-,3,0.4ч,Задание курса Nature of Go. Системный вызов va2pa — преобразование виртуального адреса в физический.
2026-05-18,Собеседование,LeetCode 125: Valid Palindrome (видео-разбор),"Записала видео с полным объяснением алгоритма Two Pointers для проверки палиндрома. O(n) time, O(1) space. Пропуск неалфавитных символов, сравнение в lowercase.","day_42/main.go, Telegram-канал",1,1.4ч,"Тренировка объяснения кода и алгоритмов как на собеседовании. Разбор для Telegram-канала."
2026-05-18,Карточки,Anki — создание карточек по LC 15: 3Sum,"Составлены 3 карточки по методологии algorithm-anki/SKILL.md. Type A: Pattern Recognition (Sort + Two Pointers, O(n²)/O(1)). Type B: Algorithm Mechanics (дедупликация left/right после нахождения тройки). Type C: Edge Case (массив из нулей → одна уникальная тройка).",Anki,1,0.25ч,"Методология: 3 карточки на задачу. Без кода, max 4 предложения. Добавлены в Anki с тегами: two_pointers, leetcode, pattern, mechanics, edge_case."
2026-05-18,Алгоритмы,Лекция Влада Тена — 02 Sliding Window,"Прослушала лекцию по паттерну Sliding Window. Основы: фиксированное и динамическое окно, расширение/сжатие, условия выхода. Примеры применения к строкам и массивам.",-,1,0.4ч,"Подготовка к блоку Sliding Window в NeetCode 150. Переход от Two Pointers к новому паттерну."
2026-05-18,Алгоритмы,LeetCode 643: Maximum Average Subarray I,"Решена задача на поиск максимального среднего подмассива длины k. Fixed-size Sliding Window: сумма окна, сдвиг begin/end. O(n) time, O(1) space. Инициализация res через math.MinInt осознанно (защита от отрицательных чисел).",day_42/main.go,1,0.4ч,"Первая задача в блоке Sliding Window после лекции Влада Тена. Без TDD — разминочное решение."
2026-05-18,Алгоритмы,LeetCode 1343: Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,"Решена задача на подсчёт окон размера k со средним >= threshold. Fixed-size Sliding Window: сумма окна, проверка условия, сдвиг. O(n) time, O(1) space. Целочисленное деление корректно для положительных constraints.","day_42/main.go, day_42/main_test.go",2,0.4ч,"TDD: 7 тестов (2 классических + 5 edge cases). Retention L4. Прямой аналог LC 643."
2026-05-18,Алгоритмы,LeetCode 1876: Substrings of Size Three with Distinct Characters,"Решена задача на подсчёт подстрок длины 3 с различными символами. Fixed-size Sliding Window размера 3. O(n) time, O(1) space. Рефакторинг: убран срез в пользу прямой индексации s[begin], s[begin+1], s[end].","day_42/main.go, day_42/main_test.go",1,1.2ч,"TDD: 8 тестов (2 классических + 6 edge cases). Retention L4. Первая задача на строки в блоке Sliding Window."
2026-05-18,Алгоритмы,LeetCode 2090: K Radius Subarray Averages,"Решена задача на поиск k-radius средних для каждого индекса. Fixed-size Sliding Window размера 2k+1. O(n) time, O(n) space (под результат). Сначала весь res заполняется -1, затем перезаписываются валидные позиции. Математика границ: k <= i <= n-k-1.","day_42/main.go, day_42/main_test.go",2,2.1ч,"TDD: 7 тестов (3 классических + 4 edge cases). Retention L4. Сложность в понимании условия и математики границ."
2026-05-19,Алгоритмы,Warm-up: LC 643 Maximum Average Subarray I,"Повторение решённой задачи Sliding Window фиксированного размера. Вербализация алгоритма, написание кода без подсказок, без тестов. O(n) time, O(1) space.",day_43/main.go,1,2мин,"Retention check — повторение задачи L4. Zero Hints mode. Разминка перед новой задачей Sliding Window."
2026-05-19,Алгоритмы,Warm-up: LC 1343 Number of Sub-arrays of Size K and Average >= Threshold,"Повторение решённой задачи Sliding Window. Подсчёт окон размера k со средним >= threshold. O(n) time, O(1) space.",day_43/main.go,2,8мин,"Retention check — повторение задачи L4. Zero Hints mode. Замечание: w_state >= k*threshold надёжнее чем w_state/k >= threshold при отрицательных числах."
2026-05-19,Алгоритмы,Warm-up: LC 1876 Substrings of Size Three with Distinct Characters,"Повторение задачи Sliding Window размера 3 на строках. Прямая индексация байтов без срезов. O(n) time, O(1) space.",day_43/main.go,1,5мин,"Retention check — повторение задачи L4. Zero Hints mode."
2026-05-19,Алгоритмы,Warm-up: LC 2090 K Radius Subarray Averages,"Повторение задачи Sliding Window с предзаполнением результата. Окно размера 2k+1, центр begin+k. O(n) time, O(n) space (результат).",day_43/main.go,2,7мин,"Retention check — повторение задачи L4 (было L3, теперь увереннее). Zero Hints mode."
2026-05-19,Алгоритмы,LeetCode 2461: Maximum Sum of Distinct Subarrays With Length K,"Решена задача на поиск максимальной суммы подмассива длины k с уникальными элементами. Sliding Window + frequency map (map[int]int). O(n) time, O(k) space. Итерации: баг с isDistinct (не сортировал) → map[struct{}] → map[int] (счётчик частот).",day_43/main.go,2,1.5ч,"TDD: 10 тестов. Retention L3 (были подсказки по оптимизации). Задача усложнена: нужно отслеживать дубликаты в окне через счётчик."
2026-05-19,Алгоритмы,LeetCode 1456: Maximum Number of Vowels in a Substring of Given Length,"Решена задача на поиск максимального количества гласных в подстроке длины k. Sliding Window + счётчик гласных в окне. O(n) time, O(1) space.",day_43/main.go,2,0.5ч,"TDD: 13 тестов. Retention L4. Оптимизация: wState обновляется за O(1) при входе/выходе символа вместо пересчёта всего окна."
2026-05-19,Карточки,Anki-карточки: LC 283 Move Zeroes (Type A/B/C),"Составлены 3 карточки по методологии algorithm-anki/SKILL.md. Type A: Pattern Recognition (Two Pointers fast/slow swap). Type B: Algorithm Mechanics (swap при ненулевом, движение указателей). Type C: Edge Case (массив без нулей — swap с самим собой).",Anki,1,0.3ч,"Карточки созданы и добавлены в Anki с тегами. Обсуждена разница между swap и overwrite."
2026-05-19,Собеседование,Telegram-пост про Anki-карточки,"Написан пост для Telegram-канала о методологии Anki-карточек для алгоритмов. Структура: хук → проблема → 3 типа карточек → пример → правила → CTA.",Telegram-канал,1,0.2ч,"Пост о методологии 3 карточек на задачу (Pattern/Mechanics/Edge)."
2026-05-19,Алгоритмы,LeetCode 2379: Minimum Recolors to Get K Consecutive Black Blocks,"Решена задача на минимальное количество перекрасок для получения k чёрных блоков подряд. Sliding Window: считаем W в окне. O(n) time, O(1) space.",day_43/main.go,1,0.3ч,"TDD: 10 тестов. Retention L4. Прямой аналог 1456 (счётчик в окне), но ищем минимум."
2026-05-19,Алгоритмы,LeetCode 2653: Sliding Subarray Beauty,"Решена задача на поиск x-го отрицательного элемента в каждом окне размера k. Bucket approach: freq[101] для значений -50..50. Перебор от -50 до -1 для поиска x-го. O(n) time, O(1) space.",day_43/main.go,2,0.5ч,"TDD: 10 тестов. Retention L4. Ключевой инсайт: ограничение nums[i] ∈ [-50,50] позволяет использовать counting approach вместо heap/TreeMap."
2026-05-20,Алгоритмы,LeetCode 2090: K Radius Subarray Averages (разминка),"Разминочное решение через Fixed-size Sliding Window. Сумма окна размера 2k+1, запись среднего в центр окна (begin+k), края предзаполнены -1. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_44/main.go,1,0.7ч,"Warm-up. 🟢 L4. Zero hints, чистый код."
2026-05-20,Алгоритмы,LeetCode 2461: Maximum Sum of Distinct Subarrays With Length K (разминка),"Разминочное решение через Fixed-size Sliding Window + frequency map. map[int]int для отслеживания частот, len(m)==k проверяет distinct. Декремент и delete на каждом сдвиге. O(n) time, O(k) space. Решено самостоятельно без подсказок.",day_44/main.go,2,0.4ч,"Warm-up. 🟢 L4 → блокирующая задача снята. Zero hints, чистый код."
2026-05-20,Алгоритмы,LeetCode 1456: Maximum Number of Vowels in a Substring of Given Length (разминка),"Разминочное решение через Fixed-size Sliding Window с running counter гласных. Increment при входе гласной, decrement при выходе. isVowel вынесен в helper для читаемости. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_44/main.go,1,0.4ч,"Warm-up. 🟢 L4. Zero hints, чистый код."
2026-05-20,Алгоритмы,LeetCode 2379: Minimum Recolors to Get K Consecutive Black Blocks (разминка),"Разминочное решение через Fixed-size Sliding Window. Считаем W в окне — минимум белых = минимум перекрасок. Increment при входе W, decrement при выходе W. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_44/main.go,1,0.1ч,"Warm-up. 🟢 L4. Zero hints, решено за ~3 минуты."
2026-05-20,Алгоритмы,LeetCode 2653: Sliding Subarray Beauty (разминка),"Разминочное решение через Fixed-size Sliding Window + bucket counting. [101]int для диапазона [-50,50], сканирование индексов 0..49 для поиска x-го smallest negative. found-флаг + break, append 0 если не найден. O(n) time, O(1) space. Решено самостоятельно без подсказок.",day_44/main.go,2,0.4ч,"Warm-up. 🟢 L4. Zero hints, чистый код."
2026-05-20,Алгоритмы,LeetCode 1423: Maximum Points You Can Obtain from Cards,"Решена последняя fixed-size Sliding Window задача. Первый подход (жадный — берём большее с края) неверен. Второй подход: перебор left от 0 до k через одно окно размера k. Начинаем с k карт справа, сдвигаем влево: +cardPoints[i], -cardPoints[j]. O(k) time, O(1) space.","day_44/main.go, day_44/main_test.go",2,1.3ч,"TDD: 7 тестов. Первый подход жадный — сломан контрпримером. Второй подход — корректен. 🟢 L4. Fixed-size блок Sliding Window ЗАВЕРШЁН (9/9 задач)."
2026-05-20,Алгоритмы,LeetCode 209: Minimum Size Subarray Sum,"Решена первая dynamic Sliding Window задача. Расширение через end, сжатие через inner while (wState >= target). res инициализируется len(nums)+1 как sentinel. O(n) time, O(1) space. Обоснование: begin только растёт, каждый элемент покидает окно 1 раз.","day_44/main.go, day_44/main_test.go",2,1.4ч,"TDD: 8 тестов (3 классических + 5 edge cases). Первый подход был корректен, magic number 10001 заменён на len(nums)+1. 🟢 L4."
2026-05-20,Алгоритмы,LeetCode 680: Valid Palindrome II (разминка),"Разминочное решение через Two Pointers + skip check. При несовпадении s[i]!=s[j] проверяем две подстроки (i,j-1 и i+1,j) через isPalindrome helper. O(n) time, O(1) space. Решено самостоятельно без подсказок.","day_44/main.go, day_44/main_test.go",1,0.2ч,"Warm-up. 🟢 L4 (апгрейд с L3). Zero hints, 11 тестов."
2026-05-20,Карточки,Anki — LC 680: Valid Palindrome II (Type A/B/C),"Составлены 3 карточки по методологии algorithm-anki/SKILL.md. Type A: Pattern Recognition (Two Pointers + симметрия). Type B: Algorithm Mechanics (при несовпадении — две проверки подстрок). Type C: Edge Case (несовпадение на краю + сохранение O(n)). Без кода, max 4 предложения.",Программирование Карточки.csv,1,0.2ч,"Методология: 3 карточки на задачу. Добавлены в Anki с тегами."
2026-05-21,Алгоритмы,"Fixed-size Sliding Window warm-up (6 задач)","Разминка по решённым задачам паттерна Fixed-size Sliding Window: LC 643, 1343, 1876, 2090, 2461, 1456. Все задачи решены без подсказок, на уровне L4.",day_45/main.go; day_45/main_test.go,Easy-Medium,1ч,"Zero hints warm-up. Все задачи на уровне L4."
2026-05-21,Алгоритмы,"Fixed-size Sliding Window warm-up — LC 2379, 2653","Разминка по решённым задачам паттерна Fixed-size Sliding Window. LC 2379: счётчик W в окне. LC 2653: bucket counting [101]int для поиска x-го наименьшего.",day_45/main.go; day_45/main_test.go,Easy-Medium,0.5ч,"Zero hints warm-up. Все задачи на уровне L4."
2026-05-21,Алгоритмы,"Fixed-size Sliding Window warm-up — LC 1423","Разминка по решённой задаче. Инверсия: sliding window размером n-k на не выбранных картах, инициализация правыми k картами.",day_45/main.go; day_45/main_test.go,Medium,0.7ч,"Zero hints warm-up. Fixed-size блок завершён 9/9. Все задачи на уровне L4."
2026-05-21,Алгоритмы,"Dynamic Sliding Window warm-up — LC 209","Разминка по решённой задаче. Dynamic window: expand end, shrink begin while wState >= target. Sentinel len(nums)+1 для невозможного случая.",day_45/main.go,Medium,0.4ч,"Zero hints warm-up. Dynamic Sliding Window на уровне L4."
2026-05-21,Алгоритмы,"Dynamic Sliding Window — LC 1004","Новая задача. Dynamic sliding window: wState считает нули в окне, сжимаем begin пока wState > k. Максимальный размер окна — ответ.",day_45/main.go,Medium,0.35ч,"Код корректен. TDD пропущен (разминка предшествовала). Дата решения в NEETCODE_PLAN_3.md."
2026-05-21,Алгоритмы,"Dynamic Sliding Window — LC 1493","Новая задача. Dynamic window: wState считает нули в окне, сжимаем begin пока wState > 1. res-1 для учёта удалённого элемента.",day_45/main.go; day_45/main_test.go,Medium,0.35ч,"TDD. Изначально баг: if вместо for. Исправлено. Добавлены edge case тесты. L4."
2026-05-21,Алгоритмы,"Dynamic Sliding Window — LC 904","Новая задача. Dynamic window с freq map: расширяем end, сжимаем begin пока типов фруктов > 2. Максимальный размер окна — ответ.",day_45/main.go; day_45/main_test.go; NEETCODE_PLAN_3.md,Medium,0.2ч,"TDD. Добавлены edge case тесты. L4."
2026-05-21,Алгоритмы,"Dynamic Sliding Window — LC 3","Новая задача. Dynamic window с freq map: расширяем end, сжимаем begin пока s[end] дублируется в окне. Максимальный размер окна без повторов — ответ.",day_45/main.go; day_45/main_test.go; NEETCODE_PLAN_3.md,Medium,0.6ч,"TDD. Добавлены edge case тесты включая tricky кейс abba. L4."
2026-05-21,Go,"Домашнее задание №4 | CacheLocality | The Nature of Go","Выполнено домашнее задание по курсу The Nature of Go. Тема: CacheLocality.",,Средняя,0.03ч,"Завершено."
2026-05-22,Алгоритмы,"Two Pointers warm-up (5 задач)","Разминочное решение 5 задач паттерна Two Pointers: LC 26 (Remove Duplicates), LC 283 (Move Zeroes), LC 392 (Is Subsequence), LC 844 (Backspace Compare), LC 88 (Merge Sorted Array). Все решены самостоятельно без подсказок.",day_46/main.go,Easy,0.75ч,"Zero hints warm-up. Все задачи на уровне L4. LC 26: баг с empty input — return 0 при len==0 не добавлен.",day_46/main.go
2026-05-22,Алгоритмы,"Two Pointers warm-up — LC 680 + LC 1768","Разминочное решение LC 680 (Valid Palindrome II) через Two Pointers + skip check. Разминочное решение LC 1768 (Merge Strings Alternately) через interleaving two pointers. TDD для LC 1768: 8 тестов.","day_46/main.go, day_46/main_test.go",Easy,0.5ч,"Zero hints warm-up. LC 680: L4. LC 1768: рефакторинг с idx%2 на пару за итерацию."
2026-05-22,Алгоритмы,"Two Pointers warm-up — LC 189: Rotate Array","Разминочное решение LC 189 через Triple Reverse. k = k % len(nums) для нормализации. Early return при k == 0. TDD: 6 тестов (включая k > len, k == len, k == 0, single element).","day_46/main.go, day_46/main_test.go",Easy,0.3ч,"Zero hints warm-up. 🟢 L4. Тест k=10, len=7 добавлен для проверки k % n."
2026-05-22,Алгоритмы,"Two Pointers warm-up — LC 881: Boats to Save People","Разминочное решение LC 881 через Sort + Two Pointers (greedy pairing). Первый подход был неверен: аккумулятор count без ограничения на количество людей в лодке. Исправлено: лёгкий + тяжёлый указатели, максимум 2 человека. TDD: 10 тестов.","day_46/main.go, day_46/main_test.go",Medium,0.5ч,"Zero hints warm-up. 🟢 L4. Ключевой инсайт: лодка = максимум 2 человека, не просто сумма веса <= limit."
2026-05-22,Алгоритмы,"Two Pointers warm-up — LC 42: Trapping Rain Water","Разминочное решение LC 42 через Two Pointers с двумя опорами (maxLeft/maxRight). Первый подход был неверен: перепутаны имена опор (maxRight инициализировался левым элементом, maxLeft — правым) + обе стороны обрабатывались с неправильными опорами. Исправлено: maxLeft отслеживает левую опору, maxRight — правую. TDD: 8 тестов.","day_46/main.go, day_46/main_test.go",Hard,0.5ч,"Zero hints warm-up. 🔴 L1 → 🟢 L4. Контрпример [3,0,2,0,2] выявил баг (ответ 7 вместо 4)."
2026-05-22,Собеседование,"Telegram-видео: LeetCode 680 Valid Palindrome II","Записала видео с полным объяснением алгоритма Two Pointers + skip check. Структура: постановка → алгоритм → код → сложность → edge cases. Публикация в Telegram-канал.","day_46/main.go, Telegram-канал",Easy,0.3ч,"Разбор задачи Two Pointers для тренировки объяснения на собеседовании."
2026-05-22,Карточки,"Anki — LC 1768 + LC 88","Составлены Anki-карточки по методологии algorithm-anki/SKILL.md. LC 1768: 4 карточки (Type A, B₁, B₂, C). LC 88: 3 карточки (Type A, B, C). Все карточки без кода, max 4 предложения, с тегами.",Anki,Easy,0.25ч,"Методология: 3 карточки на задачу (Pattern / Mechanics / Edge). Добавлены в Anki с тегами: two_pointers, leetcode, pattern, mechanics, edge_case."
2026-05-22,Алгоритмы,"Two Pointers warm-up — LC 917 + LC 5","Разминочное решение LC 917 (Reverse Only Letters) через Two Pointers с пропуском не-букв через unicode.IsLetter. Разминочное решение LC 5 (Longest Palindromic Substring) через expand around center с двумя типами центров (i,i и i,i+1). TDD: 8 тестов для LC 5 (включая long palindrome in middle из 1000 символов).","day_46/main.go, day_46/main_test.go",Easy-Medium,0.4ч,"Zero hints warm-up. 🟢 L4. LC 5: первый подход был неверен (сужение с краёв), исправлено на expand around center."
2026-05-23,Telegram,"Видео-разбор LeetCode 283: Move Zeroes","Запись видео для канала: разбор задачи Move Zeroes через Two Pointers (fast & slow). Структура: ввод → алгоритм → код → сложность → edge cases.","Telegram-канал",Easy,0.5ч,"Задача решена ранее (2026-05-01, 🟠 L2). Видео для тренировки объяснения кода как на собеседовании."
2026-05-23,Карточки,"Anki — LeetCode 392 + 26","Создание алгоритмических Anki-карточек по методологии 3 карточки на задачу (Type A/B/C). LC 392 (Is Subsequence): Type A — Two Pointers pattern, Type B — проверка границы указателя sub перед сравнением символов, Type C — пустые строки. LC 26 (Remove Duplicates): Type A — fast & slow pointers на отсортированном массиве, Type B — условие движения slow и перезапись, Type C — все элементы одинаковые.","Anki",Easy,0.5ч,"Zero hints. Карточки без кода, max 4 предложения на тыле."
2026-05-24,Алгоритмы,"Warm-up — LC 1768: Merge Strings Alternately","Разминка перед новой задачей. Решение two pointers с чередованием строк, pre-allocated []byte буфер. Zero hints.","day_48/main.go",Easy,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 88: Merge Sorted Array","Разминка. Заполнение nums1 с конца тремя указателями. Zero hints.","day_48/main.go",Easy,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 392: Is Subsequence","Разминка. Сканирование s с указателем на sub, проверка границы. Zero hints.","day_48/main.go",Easy,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 26: Remove Duplicates from Sorted Array","Разминка. Fast & slow pointers на отсортированном массиве, in-place deduplication. Zero hints.","day_48/main.go",Easy,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 18: 4Sum","Разминка. Сортировка + two nested loops + two pointers, дедупликация на 4 уровнях. Zero hints.","day_48/main.go",Medium,~10мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 189: Rotate Array","Разминка. Triple reverse (весь массив → первые k → остальные), k %= len(nums). Zero hints.","day_48/main.go",Medium,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 11: Container With Most Water","Разминка. Two pointers с краёв, движение меньшего указателя, max area. Zero hints.","day_48/main.go",Medium,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Go,"Nature of Go — Занятие №6","Лекция: Введение в Go, инструменты и примитивные типы. Продолжение курса igoroutine.courses.","The Nature of Go",Medium,~1ч,"Лекция завершена."
2026-05-24,Алгоритмы,"Warm-up — LC 881: Boats to Save People","Разминка. Сортировка + greedy two pointers (тяжёлый + лёгкий), max 2 per boat. Zero hints.","day_48/main.go",Medium,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
2026-05-24,Алгоритмы,"Warm-up — LC 42: Trapping Rain Water","Разминка. Two pointers с maxLeft/maxRight, движение меньшего указателя. Zero hints.","day_48/main.go",Hard,~5мин,"Решено самостоятельно, без подсказок. Retention: 🟢 L4."
